-21	-21	-135	-135
-21	-19	-135	-137.8624052
-21	-17	-135	-141.009006
-21	-15	-135	-144.4623222
-21	-13	-149.0362435	-148.2405199
-21	-11	-149.0362435	-152.3540246
-21	-9	-149.0362435	-156.8014095
-21	-7	-163.6104597	-161.5650512
-21	-5	-163.6104597	-166.6075022
-21	-3	-168.6900675	-171.8698976
-21	-1	180	-177.273689
-21	1	180	177.273689
-21	3	168.6900675	171.8698976
-21	5	163.6104597	166.6075022
-21	7	163.6104597	161.5650512
-21	9	149.0362435	156.8014095
-21	11	149.0362435	152.3540246
-21	13	149.0362435	148.2405199
-21	15	135	144.4623222
-21	17	135	141.009006
-21	19	135	137.8624052
-19	-21	-135	-132.1375948
-19	-19	-135	-135
-19	-17	-135	-138.1798301
-19	-15	-135	-141.7098368
-19	-13	-149.0362435	-145.6196553
-19	-11	-149.0362435	-149.9314172
-19	-9	-149.0362435	-154.6538241
-19	-7	-163.6104597	-159.7751406
-19	-5	-163.6104597	-165.2564372
-19	-3	-168.6900675	-171.0273734
-19	-1	180	-176.9872125
-19	1	180	176.9872125
-19	3	168.6900675	171.0273734
-19	5	163.6104597	165.2564372
-19	7	163.6104597	159.7751406
-19	9	149.0362435	154.6538241
-19	11	149.0362435	149.9314172
-19	13	149.0362435	145.6196553
-19	15	135	141.7098368
-19	17	135	138.1798301
-19	19	135	135
-17	-21	-135	-128.990994
-17	-19	-135	-131.8201699
-17	-17	-135	-135
-17	-15	-135	-138.5763344
-17	-13	-135	-142.5946434
-17	-11	-149.0362435	-147.0947571
-17	-9	-149.0362435	-152.102729
-17	-7	-149.0362435	-157.6198649
-17	-5	-163.6104597	-163.6104597
-17	-3	-168.6900675	-169.9920202
-17	-1	180	-176.6335393
-17	1	180	176.6335393
-17	3	168.6900675	169.9920202
-17	5	163.6104597	163.6104597
-17	7	149.0362435	157.6198649
-17	9	149.0362435	152.102729
-17	11	149.0362435	147.0947571
-17	13	135	142.5946434
-17	15	135	138.5763344
-17	17	135	135
-17	19	135	131.8201699
-15	-21	-135	-125.5376778
-15	-19	-135	-128.2901632
-15	-17	-135	-131.4236656
-15	-15	-135	-135
-15	-13	-135	-139.0856168
-15	-11	-135	-143.7461623
