-21	-21	-135	-135
-21	-19	-135	-137.8624052
-21	-17	45	-141.009006
-21	-15	-161.5650512	-144.4623222
-21	-13	-145.0079798	-148.2405199
-21	-11	-145.6196553	-152.3540246
-21	-9	180	-156.8014095
-21	-7	-155.5560452	-161.5650512
-21	-5	-158.1985905	-166.6075022
-21	-3	-169.6951535	-171.8698976
-21	-1	-174.2894069	-177.273689
-21	1	174.2894069	177.273689
-21	3	169.6951535	171.8698976
-21	5	180	166.6075022
-21	7	180	161.5650512
-21	9	155.5560452	156.8014095
-21	11	161.5650512	152.3540246
-21	13	161.5650512	148.2405199
-21	15	145.0079798	144.4623222
-21	17	-45	141.009006
-21	19	135	137.8624052
-19	-21	-135	-132.1375948
-19	-19	-135	-135
-19	-17	-56.30993247	-138.1798301
-19	-15	-161.5650512	-141.7098368
-19	-13	51.11550357	-145.6196553
-19	-11	-145.0079798	-149.9314172
-19	-9	-161.5650512	-154.6538241
-19	-7	180	-159.7751406
-19	-5	-155.5560452	-165.2564372
-19	-3	-159.7751406	-171.0273734
-19	-1	58.67130713	-176.9872125
-19	1	174.2894069	176.9872125
-19	3	180	171.0273734
-19	5	180	165.2564372
-19	7	155.5560452	159.7751406
-19	9	161.5650512	154.6538241
-19	11	-50.71059314	149.9314172
-19	13	-49.63546343	145.6196553
-19	15	135	141.7098368
-19	17	1.245364267	138.1798301
-19	19	135	135
-17	-21	164.2192467	-128.990994
-17	-19	-135	-131.8201699
-17	-17	-135	-135
-17	-15	45	-138.5763344
-17	-13	-143.9726266	-142.5946434
-17	-11	51.11550357	-147.0947571
-17	-9	160.1148349	-152.102729
-17	-7	-155.5560452	-157.6198649
-17	-5	180	-163.6104597
-17	-3	-164.0546041	-169.9920202
-17	-1	180	-176.6335393
-17	1	174.2894069	176.6335393
-17	3	159.7751406	169.9920202
-17	5	180	163.6104597
-17	7	155.5560452	157.6198649
-17	9	145.6196553	152.102729
-17	11	161.5650512	147.0947571
-17	13	143.9726266	142.5946434
-17	15	135	138.5763344
-17	17	135	135
-17	19	135	131.8201699
-15	-21	-108.4349488	-125.5376778
-15	-19	-135	-128.2901632
-15	-17	-135	-131.4236656
-15	-15	-135	-135
